 ,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,label
0.0,2025-06-23T01:40:44+0800,CnC1wt38Exqre5OObc,2409:896d:23e:298c:f827:8e4:f0ed:a859,58432,2620:2d:4000:1::41,123,udp,ntp,0.27638,0.0,48.0,SHR,F,F,0,Cd,0,0,1,96,,Benign
1.0,2025-06-23T01:41:44+0800,CwhAa34cNhqviugeC6,192.168.84.22,50530,192.168.84.22,5000,tcp,http,0.025829,212.0,0.0,SH,T,T,0,ScADFa,7,504,1,40,,Benign
2.0,2025-06-23T01:41:44+0800,CHhyjP2xxDRkYUVvyl,192.168.84.22,50531,192.168.84.22,5000,tcp,http,0.018558,357.0,0.0,SH,T,T,0,ScADF,7,649,0,0,,Benign
3.0,2025-06-23T01:41:51+0800,C646tq27r0z6cE7UTd,192.168.84.22,50538,192.168.84.22,5000,tcp,http,0.013122,472.0,0.0,SH,T,T,0,ScADF,7,764,0,0,,Benign
4.0,2025-06-23T01:40:58+0800,CQxPuv2wLf4k2OAlh1,fe80::8c1c:7cff:fe9c:ec3f,136,fe80::bb5f:5884:edfb:d995,135,icmp,,,,,OTH,T,T,0,,1,64,0,0,,Benign
5.0,2025-06-23T01:41:56+0800,Csd88o3EHJPw6C5bo9,192.168.84.22,50542,192.168.84.22,5000,tcp,http,0.016058,334.0,0.0,SH,T,T,0,ScADF,7,626,0,0,,Benign
6.0,2025-06-23T01:41:58+0800,CtR0Zs3Jgi4Ugs7fnb,192.168.84.22,50545,192.168.84.22,5000,tcp,http,0.011649,340.0,0.0,SH,T,T,0,ScADF,7,632,0,0,,Benign
7.0,2025-06-23T01:42:02+0800,CmMafM3uJTBXetQiBi,192.168.84.22,50546,192.168.84.22,5000,tcp,http,0.012647,334.0,0.0,SH,T,T,0,ScADF,7,626,0,0,,Benign
8.0,2025-06-23T01:42:04+0800,ClTWV71JqMGhooYxQ1,192.168.84.22,50548,192.168.84.22,5000,tcp,http,0.014404,334.0,0.0,SH,T,T,0,ScADF,7,626,0,0,,Benign
9.0,2025-06-23T01:42:08+0800,CCXvH6DdELxcDQz5j,192.168.84.22,50549,192.168.84.22,5000,tcp,http,0.013361,334.0,0.0,SH,T,T,0,ScADF,7,626,0,0,,Benign
10.0,2025-06-23T01:42:10+0800,CFTTng4jJQmBeBYSYh,192.168.84.22,50551,192.168.84.22,5000,tcp,http,0.014473,334.0,0.0,SH,T,T,0,ScADF,7,626,0,0,,Benign
11.0,2025-06-23T01:41:18+0800,C0DXS72AunBos5Ozhf,2409:896d:23e:298c:f827:8e4:f0ed:a859,57785,2620:2d:4000:1::41,123,udp,ntp,0.268384,0.0,48.0,SHR,F,F,0,Cd,0,0,1,96,,Benign
12.0,2025-06-23T01:42:14+0800,CiQ7to4ep5M3bEKrRi,192.168.84.22,50553,192.168.84.22,5000,tcp,http,0.019367,333.0,0.0,SH,T,T,0,ScADF,7,625,0,0,,Benign
13.0,2025-06-23T01:42:16+0800,CblI1BJlTnuQgbrLh,192.168.84.22,50555,192.168.84.22,5000,tcp,http,0.01058,334.0,0.0,SH,T,T,0,ScADF,7,626,0,0,,Benign
14.0,2025-06-23T01:42:19+0800,C2IJxF4fglzVjuCNzb,192.168.84.22,50556,192.168.84.22,5000,tcp,http,0.011111,357.0,0.0,SH,T,T,0,ScADF,7,649,0,0,,Benign
15.0,2025-06-23T01:42:20+0800,CbdnzDUyVQsgyaGfc,192.168.84.22,50557,192.168.84.22,5000,tcp,http,0.01305,334.0,0.0,SH,T,T,0,ScADF,7,626,0,0,,Benign
16.0,2025-06-23T01:42:22+0800,CBiOe6hUIxhziDDe6,192.168.84.22,50559,192.168.84.22,5000,tcp,http,0.023291,333.0,0.0,SH,T,T,0,ScADFa,7,625,1,40,,Benign
17.0,2025-06-23T01:42:25+0800,CfePzL3OTr8jAcxGse,192.168.84.22,50560,192.168.84.22,5000,tcp,http,0.012481,334.0,0.0,SH,T,T,0,ScADF,7,626,0,0,,Benign
18.0,2025-06-23T01:42:28+0800,CiyhuonkP5PImqvc5,192.168.84.22,50561,192.168.84.22,5000,tcp,http,0.012387,333.0,0.0,SH,T,T,0,ScADF,7,625,0,0,,Benign
19.0,2025-06-23T01:42:28+0800,C6m4Fh4tpFKioLvAq9,192.168.84.22,50562,192.168.84.22,5000,tcp,http,0.009468,335.0,0.0,SH,T,T,0,ScADF,7,627,0,0,,Benign
20.0,2025-06-23T01:42:31+0800,CiTL8Z1ExyLP9IWFGg,192.168.84.22,59483,192.168.84.22,443,tcp,,0.000184,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
21.0,2025-06-23T01:42:31+0800,CsBB3r3CC7SxqSvhBe,192.168.84.22,57367,192.168.84.22,80,tcp,,0.000248,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
