#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2025-06-21-13-50-48
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer	source
#types	time	string	addr	port	addr	port	string	string	bool	string	string
1750485048.238155	CUruKVfvpT9OzpSJ2	192.168.226.11	47922	185.125.190.58	123	bad_UDP_checksum	-	F	zeek	UDP
1750485061.062416	CWFkar3GgQVgZFFJ93	192.168.226.11	46542	23.217.11.75	80	bad_TCP_checksum	-	F	zeek	TCP
1750485061.396090	CWFkar3GgQVgZFFJ93	192.168.226.11	46542	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750485067.160862	Co3yl84WsUkUcUgIO5	192.168.226.11	46554	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750485092.529532	CxJ67M1KcL8rmG6YYb	192.168.226.11	46216	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750485099.261538	C9rhyy2044v3A31x33	192.168.226.11	48540	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750485102.207401	CqvO012LhU5rFPwix6	192.168.226.11	46158	13.107.5.93	443	active_connection_reuse	-	F	zeek	TCP
1750485148.354597	C9avMj2iHZGTEGVsob	192.168.226.11	44672	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750485168.302442	CeXE3f14xGW8kDHjla	192.168.226.11	45914	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750485193.220901	C9ePz33XRiXqWJwcth	192.168.226.11	48078	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750485215.293011	CBGjYPSM0LZyQ8sl7	192.168.226.11	47744	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750485253.440094	CFSeUw5rJFYcWnjc6	192.168.226.11	47966	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750485283.308950	CI5duu1rB7ViqInDD9	192.168.226.11	44620	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750485306.883410	Cp7G2u1uMbwkXMI9Li	192.168.226.11	46574	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
