#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2025-06-25-13-50-34
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer	source
#types	time	string	addr	port	addr	port	string	string	bool	string	string
1750830634.032401	Cdq04G3VcYWFKgRzYl	240c:cf81:8d:88b2:3426:58e5:7f1e:5c6a	48151	2620:2d:4000:1::41	123	bad_UDP_checksum	-	F	zeek	UDP
1750830694.844649	C3q9Zt3HWraSrdd3Gd	10.141.143.123	60334	10.141.143.123	5000	bad_TCP_checksum	-	F	zeek	TCP
1750830694.845225	C3q9Zt3HWraSrdd3Gd	10.141.143.123	60334	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830694.858507	C3q9Zt3HWraSrdd3Gd	10.141.143.123	60334	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830700.936450	C0MdsY1yMRgU1ojFbk	10.141.143.123	60357	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830700.940140	C0MdsY1yMRgU1ojFbk	10.141.143.123	60357	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830707.378423	CD2ZOq4wGtZDLkUNpa	10.141.143.123	60359	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830707.381263	CD2ZOq4wGtZDLkUNpa	10.141.143.123	60359	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830713.325967	CN9f4f3PrlarKYc8Dh	10.141.143.123	60362	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830713.331633	CN9f4f3PrlarKYc8Dh	10.141.143.123	60362	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830719.339589	CjhXqE3sKjWHiCy6Z5	10.141.143.123	60366	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830719.341688	CjhXqE3sKjWHiCy6Z5	10.141.143.123	60366	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830725.343263	CSD7Rg1ks55CFetKuj	10.141.143.123	60382	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830725.345338	CSD7Rg1ks55CFetKuj	10.141.143.123	60382	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830730.346683	CvNkxg4f0XNEwKH4y8	10.141.143.123	60394	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830730.350763	CvNkxg4f0XNEwKH4y8	10.141.143.123	60394	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830731.360333	C4VjrB48Udr0yFtP3a	10.141.143.123	60395	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830731.363319	C4VjrB48Udr0yFtP3a	10.141.143.123	60395	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830736.375336	Cs7MLk3S9OWiypaFi8	10.141.143.123	60403	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830736.378676	Cs7MLk3S9OWiypaFi8	10.141.143.123	60403	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
